Name,Reason
Authenticator,"Microsoft, installable if necessary in emergency"
Authy,"Some apps still require it, but same as Authenticator"
Clozemaster,"Language learning that actually runs on Nokia 1"
Duo,"multi-account calling app I don't actually use with anyone"
File Manager,"File system exists locally! Can be installed though"
Meditation Assistant?,???
NewPipe?,"missing on iOS"
Suomi.fi?,"goverment communication app that is seldom used anyway"
VLC,offline music etc.
WhatsApp?,backup communications? Probably too difficult
