Name,URI,Comment
YLE X,http://www.yle.fi/livestream/ylex.asx,
YLE Radio 1,http://yle.fi/livestream/yleradio1.asx,
YLE Kymenlaakson Radio,http://yle.fi/livestream/kymenlaakso.asx,
YLE Klassinen,http://mediau.yle.fi/liveklassinen,
Čro Vltava,http://amp1.cesnet.cz:8000/cro3.ogg,
Čro Vltava,http://amp2.cesnet.cz:8000/cro3.ogg,
Čro Vltava,http://amp1.cesnet.cz:8000/cro3-256.ogg,
Čro Vltava,http://amp2.cesnet.cz:8000/cro3-256.ogg,
Čro Plus,http://amp1.cesnet.cz:8000/cro-plus.ogg,
Čro Plus,http://amp2.cesnet.cz:8000/cro-plus.ogg,
Čro Plus,http://amp1.cesnet.cz:8000/cro-plus-256.ogg,
Čro Plus,http://amp2.cesnet.cz:8000/cro-plus-256.ogg,
